,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Payment System Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month/Year,A. Settlement Systems,,,,,,,,,,,,,,B. Payment Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A. Other Payment Channels,,,,,,,,,,,,B. ATMs,,,,,,,,,,,,,,,,,,Payment System Infrastructures,,,,,,,,,,,,,,,,,,,,,,,,,
,,Financial Market Infrastructures (FMIs),,,,,,,,,,,,,,I Financial Market Infrastructures (FMIs),,,,,,II Retail,,,,,,,,,,,,,,,,,,,,,,3.2 ECS Dr ,,II Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2 Others ,,II Retail,,,,,,  ,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1   CCIL Operated Systems (1.1 to 1.3),,1.1 Govt. Securities Clearing (1.1.1 to 1.1.3),,1.1.1 Outright,,1.1.2 Repo,,1.1.3 Tri-party Repo,,1.2 Forex Clearing,,1.3 Rupee Derivatives @,,1 Credit Transfers - RTGS (1.1 to 1.2),,1.1 Customer Transactions,,1.2 Interbank Transactions,,2 Credit Transfers - Retail (2.1 to 2.7),,2.1 AePS (Fund Transfers) @,,2.2 APBS $,,2.3 ECS Cr,,2.4 IMPS,,2.5 NACH Cr $,,2.6 NEFT,,2.7 UPI @,,2.7.1 of which USSD @,,3 Debit Transfers and Direct Debits (3.1 to 3.4),,3.1 BHIM Aadhaar Pay @,,3.2 ECS Dr ,,3.3 NACH Dr $,,3.4 NETC (linked to bank account) @,,4 Card Payments (4.1 to 4.2),,4.1 Credit Cards (4.1.1 to 4.1.2),,4.1.1 PoS based $,,4.1.2 Others $,,4.2 Debit Cards (4.2.1 to 4.2.1 ),,4.2.1 PoS based $,,4.2.2 Others $,,5 Prepaid Payment Instruments (5.1 to 5.2),,5.1 Wallets,,5.2 Cards (5.2.1 to 5.2.2),,5.2.1 PoS based $,,5.2.2 Others $,,6 Paper-based Instruments (6.1 to 6.2),,6.1 CTS (NPCI Managed),,6.2 Others ,,Total - Retail Payments (2+3+4+5+6),,Total Payments (1+2+3+4+5+6),,Total Digital Payments (1+2+3+4+5),,1 Mobile Payments (mobile app based) (1.1 to 1.2),,1.1 Intra-bank $,,1.2 Inter-bank $,,2 Internet Payments (Netbanking / Internet Browser Based) @ (2.1 to 2.2),,2.1 Intra-bank @,,2.2 Inter-bank @,,3 Cash Withdrawal at ATMs $ (3.1 to 3.3),,3.1 Using Credit Cards $,,3.2 Using Debit Cards $,,3.3 Using Pre-paid Cards $,,4 Cash Withdrawal at PoS $ (4.1 to 4.2),,4.1 Using Debit Cards $,,4.2 Using Pre-paid Cards $,,5   Cash Withrawal at Micro ATMs @,,5.1 AePS @,,1 Number of Cards (1.1 to 1.2),,1.1 Credit Cards,,1.2 Debit Cards,,2 Number of PPIs @ (2.1 to 2.2),,2.1 Wallets @,,2.2 Cards @,,3 Number of ATMs (3.1 to 3.2),,3.1 Bank owned ATMs $,,3.2 White Label ATMs $,,4   Number of Micro ATMs @,,5   Number of PoS Terminals ,,6   Bharat QR @,,7 UPI QR *,
,,Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores )
,Jun-2026,5.60,"35,295,220",2.03,"19,743,616",1.31,"1,726,964",0.46,"7,575,558",0.26,"10,441,094",3.39,"14,283,593",0.18,"1,268,011",319.29,"22,984,140",318.14,"21,210,783",1.15,"1,773,357",243626.31,"8,255,460",0.23,13,3151.62,"62,653",0.00,0,3539.18,"676,543",1192.32,"170,436",8582.30,"4,453,677",227160.66,"2,892,139",1.28,13,2094.13,"260,337",32.30,"1,079",0.00,0,1912.95,"259,076",148.88,182,6783.52,"236,660",5812.59,"201,362",2855.64,"74,262",2956.95,"127,100",970.93,"35,299",712.56,"21,692",258.37,"13,607",8887.79,"27,495",6984.10,"20,970",1903.69,"6,525",794.48,"1,343",1109.21,"5,182",425.55,"607,843",425.55,"607,843",0.00,0,261817.30,"9,387,796",262136.59,"32,371,936",261711.04,"31,764,092",195230.02,"3,913,727",10719.64,"723,073",184510.38,"3,190,654",3182.59,"13,165,541",651.68,"6,035,123",2530.91,"7,130,418",4007.78,"217,595",6.30,357,3984.29,"216,359",17.19,880,0.10,2,0.07,1,0.03,0,928.19,"24,411",928.19,"24,411",11534.57,-,1215.91,-,10318.66,-,22460.84,-,17803.44,-,4657.40,-,2.52,-,2.16,-,0.36,-,13.37,-,99.22,-,52.66,-,7925.74,-
,May-2026,4.87,"32,125,386",1.71,"18,071,700",1.03,"1,254,908",0.43,"6,790,220",0.25,"10,026,571",2.96,"12,462,096",0.21,"1,591,591",315.38,"18,618,676",314.27,"17,246,274",1.11,"1,372,402",246885.68,"8,135,516",0.24,14,2048.40,"62,137",0.00,0,3580.97,"695,701",740.50,"154,628",8496.29,"4,232,611",232019.28,"2,990,424",1.28,13,2087.74,"247,007",27.29,968,0.00,0,1897.25,"245,849",163.20,190,6953.63,"238,163",5955.02,"202,742",2903.64,"76,095",3051.38,"126,647",998.62,"35,420",737.79,"22,187",260.83,"13,233",9022.57,"29,443",7132.74,"22,677",1889.82,"6,766",781.94,"1,408",1107.88,"5,358",419.39,"596,835",419.39,"596,835",0.00,0,265369.01,"9,246,964",265684.39,"27,865,640",265265.00,"27,268,805",199200.46,"3,950,902",10985.43,"704,120",188215.03,"3,246,782",3095.94,"11,236,640",629.92,"5,181,064",2466.02,"6,055,576",4176.39,"231,340",6.42,366,4152.55,"230,088",17.43,885,0.11,2,0.08,1,0.03,0,844.66,"23,729",844.66,"23,729",11483.62,-,1204.54,0,10279.08,0,22221.66,-,17596.04,0,4625.61,0,2.54,-,2.17,0,0.37,0,13.58,0,115.25,0,56.05,0,7797.65,0
,Apr-2026,4.65,"32,290,516",1.67,"16,817,588",0.99,"1,351,982",0.46,"6,706,602",0.22,"8,759,004",2.81,"14,216,020",0.16,"1,256,908",315.56,"19,248,590",314.47,"17,613,014",1.09,"1,635,576",238826.91,"8,240,533",0.27,17,2372.04,"44,625",-,-,3624.87,"700,909",1031.28,"167,523",8330.47,"4,424,471",223467.97,"2,902,988",1.15,12,2031.08,"241,715",21.26,850,-,-,1883.26,"240,687",126.56,178,6570.42,"234,177",5595.27,"197,274",2755.56,"73,835",2839.71,"123,439",975.14,"36,903",718.05,"24,269",257.09,"12,633",8573.06,"28,125",6768.34,"22,201",1804.72,"5,924",809.55,"1,244",995.17,"4,680",454.32,"693,190",454.32,"693,190",0.00,0,256455.78,"9,437,739",256771.34,"28,686,328",256317.02,"27,993,139",206898.70,"4,189,507",10611.15,"711,134",196287.56,"3,478,373",3411.08,"13,631,120",760.41,"7,034,310",2650.67,"6,596,810",4126.95,"231,125",6.40,365,4103.23,"229,849",17.32,911,0.11,2,0.08,2,0.03,0,903.83,"26,214",903.83,"26,214",11431.30,-,1194.59,0,10236.70,-,23185.47,-,18390.92,-,4794.55,0,2.54,-,2.16,-,0.38,-,13.68,-,114.47,-,56.17,-,7708.29,-
,Mar-2026,4.44,"30,819,254",1.51,"16,548,550",0.84,"1,200,663",0.46,"6,833,924",0.22,"8,513,963",2.76,"13,006,222",0.17,"1,264,482",367.45,"23,758,759",366.26,"22,131,384",1.20,"1,627,375",244356.27,"9,619,673",0.27,16,3335.83,"83,656",-,-,3656.79,"740,176",1561.87,"181,678",9390.43,"5,661,604",226411.08,"2,952,542",1.23,13,2075.65,"257,724",20.99,800,-,-,1927.45,"256,744",127.21,180,6787.94,"257,443",5774.77,"219,495",2840.35,"78,470",2934.41,"141,024",1013.17,"37,948",749.32,"24,346",263.85,"13,602",8749.63,"28,563",6959.28,"22,448",1790.35,"6,114",795.76,"1,343",994.59,"4,771",491.89,"691,723",491.89,"691,723",0.00,0,262461.38,"10,855,126",262828.83,"34,613,885",262336.94,"33,922,162",208803.96,"4,386,940",10802.29,"764,233",198001.67,"3,622,707",3869.61,"16,819,300",888.88,"8,836,592",2980.72,"7,982,708",4465.04,"249,762",7.08,408,4439.99,"248,419",17.97,935,0.14,2,0.10,2,0.04,0,1075.37,"30,529",1075.37,"30,529",11632.02,-,1186.34,-,10445.69,-,22992.54,-,18253.42,-,4739.13,-,2.54,-,2.16,-,0.38,-,13.90,-,117.69,-,56.33,-,7612.17,-
