,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Payment System Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month/Year,1   RTGS,,1.1  Customer Transactions,,1.2  Interbank Transactions,,1.3  Interbank Clearing,,2   CCIL Operated Systems,,2.1  CBLO,,2.2  Govt. Securities Clearing,,2.2.1  Outright,,2.2.2  Repo,,2.2.3 Tri-party Repo,,2.3  Forex Clearing,,3   Paper Clearing,,3.1  Cheque Truncation System (CTS),,3.2  MICR Clearing,,3.2.1  RBI Centres,,3.2.2  Other Centres,,3.3  Non-MICR Clearing,,4   Retail Electronic Clearing,,4.1  ECS DR,,4.2  ECS CR (includes NECS),,4.3  EFT/NEFT,,4.4  Immediate Payment Service (IMPS),,4.6 National Automated Clearing House (NACH),,5   Cards,,5.1  Credit Cards,,5.1.1  Usage at ATMs,,5.1.2  Usage at POS,,5.2  Debit Cards,,5.2.1  Usage at ATMs,,5.2.2  Usage at POS,,6   Prepaid Payment Instruments (PPIs),,6.1  m-Wallet,,6.2  PPI Cards,,6.3  Paper Vouchers,,7   Mobile Banking,,8   Cards Outstanding,,8.1  Credit Card,,8.2  Debit Card,,9   Number of ATMs (in actuals),,10 Number of POS (in actuals),,11 Grand Total (1.1+1.2+2+3+4+5+6),
,,Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions ),Volume (Lakh),Value( Rupees Billions )
,Oct-2019,128.92,"138,614",126.66,"89,375",2.24,"14,754",0.02,"34,484",2.60,"101,347",-,-,0.90,"62,668",0.53,"7,778",0.19,"22,203",0.18,"32,686",1.71,"38,679",898.07,"6,603",896.75,"6,591",-,-,-,-,-,-,1.32,12,"8,399.74","22,743",0.00,0,0.16,1,"2,424.00","18,608","2,369.30","2,127","3,606.27","2,008","15,176.43","4,573","2,036.00",716,8.37,4,"2,027.63",711,"13,140.43","3,858","8,590.43","3,156","4,550.01",701,"4,848.26",187,"3,393.25",151,"1,455.01",35,0.00,0,"12,418.01","5,328","8,969.81",-,533.59,-,"8,436.22",-,"229,374.00",-,"4,825,074.00",-,"29,454.00","239,583"
,Sep-2019,114.42,"142,982",112.28,"93,831",2.11,"17,003",0.02,"32,148",2.83,"101,868",-,-,1.01,"59,297",0.67,"9,521",0.18,"20,757",0.17,"29,019",1.82,"42,571",828.04,"5,918",826.55,"5,905",-,-,-,-,-,-,1.50,13,"7,091.97","21,406",0.00,0,0.12,1,"2,167.00","18,118","2,041.60","1,837","2,883.25","1,450","13,892.43","3,894","1,802.88",598,8.18,4,"1,794.71",595,"12,089.55","3,295","7,940.22","2,738","4,149.34",557,"4,033.61",178,"3,402.11",147,631.50,32,0.00,0,"10,980.26","4,702","8,881.84",-,525.90,-,"8,355.94",-,"227,886.00",-,"4,589,727.00",-,"25,963.29","244,098"
,Aug-2019,118.79,"148,421",116.56,"98,291",2.21,"16,945",0.02,"33,185",3.34,"105,108",-,-,1.30,"64,711",0.93,"12,922",0.19,"21,628",0.18,"30,162",2.05,"40,397",878.22,"6,371",875.55,"6,351",-,-,-,-,-,-,2.67,20,"7,299.24","21,369",0.04,0,3.38,9,"2,212.60","17,962","2,003.10","1,891","3,080.12","1,507","14,240.58","4,055","1,804.31",600,8.58,4,"1,795.73",596,"12,436.28","3,455","8,143.08","2,874","4,293.19",581,"4,070.66",183,"3,491.18",155,579.49,29,0.00,0,"10,072.43","3,280","8,778.96",-,517.65,-,"8,261.30",-,"228,170.00",-,"4,409,250.00",-,"26,610.82","252,322"
,Jul-2019,127.45,"160,042",125.07,"108,861",2.35,"16,909",0.03,"34,271",3.62,"116,838",-,-,1.78,"75,190",1.36,"17,663",0.23,"25,625",0.19,"31,902",1.84,"41,648",937.13,"6,822",934.30,"6,800",-,-,-,-,-,-,2.83,22,"6,887.21","21,141",0.22,0,2.82,10,"2,194.19","17,843","1,892.76","1,820","2,797.21","1,469","14,209.38","4,007","1,792.82",600,8.66,4,"1,784.16",596,"12,416.55","3,407","8,160.15","2,821","4,256.41",585,"4,075.89",184,"3,469.04",157,606.85,27,0.00,0,"9,175.84","5,338","8,656.50",-,502.64,-,"8,153.86",-,"227,629.00",-,"4,252,850.00",-,"26,240.65","274,763"
,Jun-2019,118.26,"152,991",115.99,"101,776",2.24,"18,241",0.02,"32,974",3.10,"109,184",-,-,1.48,"68,285",1.11,"15,074",0.20,"24,412",0.17,"28,798",1.62,"40,899",839.64,"6,310",836.46,"6,282",-,-,-,-,-,-,3.18,28,"6,436.48","20,581",0.27,0,3.30,9,"1,991.40","17,496","1,713.25","1,730","2,728.27","1,345","13,766.65","3,982","1,640.46",573,8.12,4,"1,632.33",569,"12,126.19","3,409","8,004.84","2,834","4,121.35",575,"3,898.19",178,"3,344.89",153,553.30,25,0.00,0,"8,486.06","4,975","8,615.93",-,496.48,-,"8,119.45",-,"226,839.00",-,"4,068,954.00",-,"25,062.30","260,251"
,May-2019,124.91,"158,380",122.24,"104,886",2.64,"19,088",0.03,"34,406",3.15,"108,988",-,-,1.27,"64,438",0.86,"10,329",0.22,"24,166",0.19,"29,943",1.88,"44,550",921.11,"7,171",917.67,"7,137",-,-,-,-,-,-,3.44,34,"6,838.14","24,834",0.33,0,2.94,8,"2,176.80","21,278","1,833.25","1,805","2,824.82","1,744","14,022.84","4,144","1,740.43",617,8.90,4,"1,731.53",613,"12,282.41","3,527","8,157.10","2,947","4,125.31",580,"4,189.98",183,"3,674.55",157,515.43,26,0.00,0,"8,417.38","4,850","8,493.58",-,489.21,-,"8,004.37",-,"227,227.00",-,"3,845,111.00",-,"26,100.10","269,294"
,Apr-2019,114.75,"148,481",112.28,"93,081",2.45,"19,373",0.02,"36,028",2.48,"95,078",-,-,0.90,"48,749",0.58,"7,916",0.16,"16,857",0.16,"23,976",1.57,"46,329",897.93,"7,268",893.58,"7,235",-,-,-,-,-,-,4.35,33,"7,318.52","23,801",0.29,0,5.18,12,"2,034.39","20,547","1,850.44","1,692","3,428.23","1,550","13,897.75","3,979","1,677.85",581,8.65,4,"1,669.21",577,"12,219.89","3,397","8,089.09","2,844","4,130.80",554,"4,209.74",186,"3,806.23",160,403.51,26,0.00,0,"8,812.35","4,020","9,082.92",-,479.97,-,"8,602.95",-,"227,164.00",-,"3,757,621.00",-,"26,441.15","242,765"
